Algorithm,Program,nPages,nFrames,#PageFaults,#DiskReads,#DiskWrites
rand, focus,100,26,153,100,74
rand, focus,100,27,171,100,73
rand, focus,100,28,227,100,72
rand, focus,100,29,268,100,71
rand, focus,100,30,199,100,70
rand, focus,100,31,153,100,69
rand, focus,100,32,194,100,68
rand, focus,100,33,190,100,67
rand, focus,100,34,167,100,66
rand, focus,100,35,196,100,65
rand, focus,100,36,193,100,64
rand, focus,100,37,180,100,63
rand, focus,100,38,184,100,62
rand, focus,100,39,233,100,61
rand, focus,100,40,161,100,60
rand, focus,100,41,236,100,59
rand, focus,100,42,170,100,58
rand, focus,100,43,172,100,57
rand, focus,100,44,302,100,56
rand, focus,100,45,256,100,55
rand, focus,100,46,330,100,54
rand, focus,100,47,224,100,53
rand, focus,100,48,243,100,52
rand, focus,100,49,235,100,51
rand, focus,100,50,283,100,50
rand, focus,100,51,212,100,49
rand, focus,100,52,215,100,48
rand, focus,100,53,269,100,47
rand, focus,100,54,274,100,46
rand, focus,100,55,228,100,45
rand, focus,100,56,365,100,44
rand, focus,100,57,262,100,43
rand, focus,100,58,278,100,42
rand, focus,100,59,345,100,41
rand, focus,100,60,347,100,40
rand, focus,100,61,278,100,39
rand, focus,100,62,302,100,38
rand, focus,100,63,345,100,37
rand, focus,100,64,344,100,36
rand, focus,100,65,316,100,35
rand, focus,100,66,276,100,34
rand, focus,100,67,294,100,33
rand, focus,100,68,273,100,32
rand, focus,100,69,368,100,31
rand, focus,100,70,353,100,30
rand, focus,100,71,365,100,29
rand, focus,100,72,335,100,28
rand, focus,100,73,262,100,27
rand, focus,100,74,612,100,26
rand, focus,100,75,353,100,25
rand, focus,100,76,325,100,24
rand, focus,100,77,495,100,23
rand, focus,100,78,372,100,22
rand, focus,100,79,349,100,21
rand, focus,100,80,268,100,20
rand, focus,100,81,471,100,19
rand, focus,100,82,387,100,18
rand, focus,100,83,321,100,17
rand, focus,100,84,306,100,16
rand, focus,100,85,632,100,15
rand, focus,100,86,415,100,14
rand, focus,100,87,404,100,13
rand, focus,100,88,444,100,12
rand, focus,100,89,404,100,11
rand, focus,100,90,384,100,10
rand, focus,100,91,750,100,9
rand, focus,100,92,554,100,8
rand, focus,100,93,390,100,7
rand, focus,100,94,310,100,6
rand, focus,100,95,746,100,5
rand, focus,100,96,586,100,4
rand, focus,100,97,494,100,3
rand, focus,100,98,547,100,2
rand, focus,100,99,328,100,1
rand, focus,100,100,100,0,0
fifo, focus,100,3,100,100,97
fifo, focus,100,4,100,100,96
fifo, focus,100,5,100,100,95
fifo, focus,100,6,100,100,94
fifo, focus,100,7,100,100,93
fifo, focus,100,8,100,100,92
fifo, focus,100,9,100,100,91
fifo, focus,100,10,100,100,90
fifo, focus,100,11,100,100,89
fifo, focus,100,12,100,100,88
fifo, focus,100,13,100,100,87
fifo, focus,100,14,100,100,86
fifo, focus,100,15,100,100,85
fifo, focus,100,16,100,100,84
fifo, focus,100,17,100,100,83
fifo, focus,100,18,100,100,82
fifo, focus,100,19,100,100,81
fifo, focus,100,20,100,100,80
fifo, focus,100,21,100,100,79
fifo, focus,100,22,100,100,78
fifo, focus,100,23,100,100,77
fifo, focus,100,24,100,100,76
fifo, focus,100,25,100,100,75
fifo, focus,100,26,100,100,74
fifo, focus,100,27,100,100,73
fifo, focus,100,28,100,100,72
fifo, focus,100,29,100,100,71
fifo, focus,100,30,100,100,70
fifo, focus,100,31,100,100,69
fifo, focus,100,32,100,100,68
fifo, focus,100,33,100,100,67
fifo, focus,100,34,100,100,66
fifo, focus,100,35,100,100,65
fifo, focus,100,36,100,100,64
fifo, focus,100,37,100,100,63
fifo, focus,100,38,100,100,62
fifo, focus,100,39,100,100,61
fifo, focus,100,40,100,100,60
fifo, focus,100,41,100,100,59
fifo, focus,100,42,100,100,58
fifo, focus,100,43,100,100,57
fifo, focus,100,44,100,100,56
fifo, focus,100,45,100,100,55
fifo, focus,100,46,100,100,54
fifo, focus,100,47,100,100,53
fifo, focus,100,48,100,100,52
fifo, focus,100,49,100,100,51
fifo, focus,100,50,100,100,50
fifo, focus,100,51,100,100,49
fifo, focus,100,52,100,100,48
fifo, focus,100,53,100,100,47
fifo, focus,100,54,100,100,46
fifo, focus,100,55,100,100,45
fifo, focus,100,56,100,100,44
fifo, focus,100,57,100,100,43
fifo, focus,100,58,100,100,42
fifo, focus,100,59,100,100,41
fifo, focus,100,60,100,100,40
fifo, focus,100,61,100,100,39
fifo, focus,100,62,100,100,38
fifo, focus,100,63,100,100,37
fifo, focus,100,64,100,100,36
fifo, focus,100,65,100,100,35
fifo, focus,100,66,100,100,34
fifo, focus,100,67,100,100,33
fifo, focus,100,68,100,100,32
fifo, focus,100,69,100,100,31
fifo, focus,100,70,100,100,30
fifo, focus,100,71,100,100,29
fifo, focus,100,72,100,100,28
fifo, focus,100,73,100,100,27
fifo, focus,100,74,100,100,26
fifo, focus,100,75,100,100,25
fifo, focus,100,76,100,100,24
fifo, focus,100,77,100,100,23
fifo, focus,100,78,100,100,22
fifo, focus,100,79,100,100,21
fifo, focus,100,80,100,100,20
fifo, focus,100,81,100,100,19
fifo, focus,100,82,100,100,18
fifo, focus,100,83,100,100,17
fifo, focus,100,84,100,100,16
fifo, focus,100,85,100,100,15
fifo, focus,100,86,100,100,14
fifo, focus,100,87,100,100,13
fifo, focus,100,88,100,100,12
fifo, focus,100,89,100,100,11
fifo, focus,100,90,100,100,10
fifo, focus,100,91,100,100,9
fifo, focus,100,92,100,100,8
fifo, focus,100,93,100,100,7
fifo, focus,100,94,100,100,6
fifo, focus,100,95,100,100,5
fifo, focus,100,96,100,100,4
fifo, focus,100,97,100,100,3
fifo, focus,100,98,100,100,2
fifo, focus,100,99,100,100,1
fifo, focus,100,100,100,0,0
custom, focus,100,3,100,100,97
custom, focus,100,4,100,100,96
custom, focus,100,5,100,100,95
custom, focus,100,6,100,100,94
custom, focus,100,7,100,100,93
custom, focus,100,8,100,100,92
custom, focus,100,9,100,100,91
custom, focus,100,10,100,100,90
custom, focus,100,11,100,100,89
custom, focus,100,12,100,100,88
custom, focus,100,13,100,100,87
custom, focus,100,14,100,100,86
custom, focus,100,15,100,100,85
custom, focus,100,16,100,100,84
custom, focus,100,17,100,100,83
custom, focus,100,18,100,100,82
custom, focus,100,19,100,100,81
custom, focus,100,20,100,100,80
custom, focus,100,21,100,100,79
custom, focus,100,22,100,100,78
custom, focus,100,23,100,100,77
custom, focus,100,24,100,100,76
custom, focus,100,25,100,100,75
custom, focus,100,26,100,100,74
custom, focus,100,27,100,100,73
custom, focus,100,28,100,100,72
custom, focus,100,29,100,100,71
custom, focus,100,30,100,100,70
custom, focus,100,31,100,100,69
custom, focus,100,32,100,100,68
custom, focus,100,33,100,100,67
custom, focus,100,34,100,100,66
custom, focus,100,35,100,100,65
custom, focus,100,36,100,100,64
custom, focus,100,37,100,100,63
custom, focus,100,38,100,100,62
custom, focus,100,39,100,100,61
custom, focus,100,40,100,100,60
custom, focus,100,41,100,100,59
custom, focus,100,42,100,100,58
custom, focus,100,43,100,100,57
custom, focus,100,44,100,100,56
custom, focus,100,45,100,100,55
custom, focus,100,46,100,100,54
custom, focus,100,47,100,100,53
custom, focus,100,48,100,100,52
custom, focus,100,49,100,100,51
custom, focus,100,50,100,100,50
custom, focus,100,51,100,100,49
custom, focus,100,52,100,100,48
custom, focus,100,53,100,100,47
custom, focus,100,54,100,100,46
custom, focus,100,55,100,100,45
custom, focus,100,56,100,100,44
custom, focus,100,57,100,100,43
custom, focus,100,58,100,100,42
custom, focus,100,59,100,100,41
custom, focus,100,60,100,100,40
custom, focus,100,61,100,100,39
custom, focus,100,62,100,100,38
custom, focus,100,63,100,100,37
custom, focus,100,64,100,100,36
